epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,5500.89,0.57727,0.4071,0.88939,0.69554,0.33932,0.436,0.31242,1.03373,1.97698,1.17203,0.000235066,0.000235066,0.000235066
80,5569.25,0.55955,0.40762,0.87256,0.49674,0.35391,0.4332,0.29944,1.11053,2.27612,1.21851,0.000234515,0.000234515,0.000234515
81,5637.52,0.56315,0.40013,0.8731,0.45741,0.47229,0.45429,0.32576,1.0382,1.89856,1.17735,0.000233965,0.000233965,0.000233965
82,5707.62,0.55868,0.40463,0.87905,0.58784,0.36767,0.42323,0.29566,1.09639,2.39926,1.21601,0.000233414,0.000233414,0.000233414
83,5775.99,0.56177,0.39661,0.87106,0.68682,0.4102,0.39761,0.29148,1.05284,1.95465,1.21533,0.000232864,0.000232864,0.000232864
84,5845.12,0.54677,0.39749,0.87379,0.49284,0.51127,0.41184,0.30459,1.05193,1.86356,1.19969,0.000232313,0.000232313,0.000232313
85,5911.9,0.54325,0.38858,0.87637,0.52051,0.43008,0.36918,0.27053,1.0506,2.02507,1.20092,0.000231763,0.000231763,0.000231763
86,5980.89,0.55841,0.38604,0.86848,0.45651,0.47112,0.4636,0.34462,1.05036,1.92826,1.20064,0.000231213,0.000231213,0.000231213
87,6050.73,0.54583,0.38998,0.8737,0.51877,0.48765,0.39115,0.25897,1.09111,2.20253,1.21184,0.000230662,0.000230662,0.000230662
88,6118.2,0.5297,0.38013,0.87205,0.63986,0.37716,0.45407,0.32585,1.05465,2.04326,1.19468,0.000230112,0.000230112,0.000230112
89,6187.98,0.54289,0.39964,0.86939,0.45511,0.39732,0.35278,0.25417,1.09101,2.24817,1.21517,0.000229561,0.000229561,0.000229561
90,6256.63,0.54314,0.40018,0.86376,0.64331,0.41296,0.42624,0.308,1.06344,1.91177,1.19622,0.000229011,0.000229011,0.000229011
91,6325.1,0.55264,0.40021,0.87234,0.4186,0.47589,0.45231,0.32682,1.04134,2.02252,1.17728,0.00022846,0.00022846,0.00022846
92,6393.73,0.52585,0.37463,0.86388,0.52737,0.47339,0.49266,0.36209,1.08944,2.13011,1.23356,0.00022791,0.00022791,0.00022791
93,6461.74,0.52273,0.37348,0.87088,0.4585,0.46364,0.4568,0.32233,1.06899,2.30113,1.21555,0.00022736,0.00022736,0.00022736
94,6530.53,0.52167,0.38189,0.86739,0.43703,0.44863,0.43539,0.30578,1.07949,2.07369,1.20633,0.000226809,0.000226809,0.000226809
95,6599.51,0.52289,0.37597,0.86509,0.55487,0.41525,0.41316,0.29922,1.09266,2.19759,1.22824,0.000226259,0.000226259,0.000226259
